Date,Rate
2025-01-02,5.010600
2025-01-03,5.026200
2025-01-06,5.001400
2025-01-07,5.013600
2025-01-08,5.040100
2025-01-09,5.030600
2025-01-10,5.025700
2025-01-13,5.075500
2025-01-14,5.060200
2025-01-15,5.046700
2025-01-16,5.049300
2025-01-17,5.019400
2025-01-20,4.999400
2025-01-21,4.986600
2025-01-22,4.983400
2025-01-23,4.979000
2025-01-24,4.969300
2025-01-27,4.943400
2025-01-28,4.968800
2025-01-29,4.971500
2025-01-30,4.975400
2025-01-31,4.963000
2025-02-03,4.957700
2025-02-04,5.009400
2025-02-05,5.014600
2025-02-06,5.018200
2025-02-07,5.012400
2025-02-10,5.040100
2025-02-11,5.043100
2025-02-12,5.029200
2025-02-13,5.024700
2025-02-14,5.020900
2025-02-17,5.019600
2025-02-18,5.024400
2025-02-19,5.032600
2025-02-20,5.025900
2025-02-21,5.020700
2025-02-24,5.015000
2025-02-25,4.983300
2025-02-26,4.954400
2025-02-27,4.959000
2025-02-28,4.965900
2025-03-03,4.938000
2025-03-04,4.899400
2025-03-05,4.844100
2025-03-06,4.809700
2025-03-07,4.791800
2025-03-10,4.768200
2025-03-11,4.741400
2025-03-12,4.755900
2025-03-13,4.785100
2025-03-14,4.754400
2025-03-17,4.774800
2025-03-18,4.782200
2025-03-19,4.779700
2025-03-20,4.784100
2025-03-21,4.796900
2025-03-24,4.806100
2025-03-25,4.825600
2025-03-26,4.848600
2025-03-27,4.836600
2025-03-28,4.831400
2025-03-31,4.803500
2025-04-01,4.804900
2025-04-02,4.820100
2025-04-03,4.771900
2025-04-04,4.754000
2025-04-07,4.767100
2025-04-08,4.812300
2025-04-09,4.766100
2025-04-10,4.783300
2025-04-11,4.745500
2025-04-14,4.730500
2025-04-15,4.750900
2025-04-16,4.724000
2025-04-22,4.698000
2025-04-23,4.728500
2025-04-24,4.734300
2025-04-25,4.738900
2025-04-28,4.741100
2025-04-29,4.740000
2025-04-30,4.745400
2025-05-02,4.760400
2025-05-05,4.765100
2025-05-06,4.774000
2025-05-07,4.760700
2025-05-08,4.753600
2025-05-09,4.764600
2025-05-12,4.802800
2025-05-13,4.796500
2025-05-14,4.771800
2025-05-15,4.768400
2025-05-16,4.769900
2025-05-19,4.750000
2025-05-20,4.756400
2025-05-21,4.744700
2025-05-22,4.757800
2025-05-23,4.772500
2025-05-26,4.777200
2025-05-27,4.768600
2025-05-28,4.766300
2025-06-02,4.769300
2025-06-03,4.769400
2025-06-04,4.781700
2025-06-06,4.772600
2025-06-10,4.767400
2025-06-11,4.767100
2025-06-12,4.719100
2025-06-13,4.753700
2025-06-16,4.750100
2025-06-17,4.754300
2025-06-18,4.746400
2025-06-19,4.740600
2025-06-20,4.723400
2025-06-23,4.715800
2025-06-24,4.687200
2025-06-25,4.683800
2025-06-26,4.660400
2025-06-27,4.670000
2025-06-30,4.655200
2025-07-01,4.640900
2025-07-02,4.651300
2025-07-03,4.660500
2025-07-04,4.665000
2025-07-07,4.658100
2025-07-08,4.661300
2025-07-09,4.654500
2025-07-10,4.655000
2025-07-11,4.661400
2025-07-14,4.669000
2025-07-15,4.672600
2025-07-16,4.686800
2025-07-17,4.682700
2025-07-18,4.669400
2025-07-21,4.668400
2025-07-22,4.667700
2025-07-23,4.686300
2025-07-24,4.662600
2025-07-25,4.655100
2025-07-28,4.666800
2025-07-29,4.696500
2025-07-30,4.693000
2025-07-31,4.711800
2025-08-01,4.716800
2025-08-04,4.683600
2025-08-05,4.685600
2025-08-06,4.673600
2025-08-07,4.664900
2025-08-08,4.663700
2025-08-11,4.658600
2025-08-12,4.660200
2025-08-13,4.631100
2025-08-14,4.631900
2025-08-15,4.630000
2025-08-18,4.636500
2025-08-19,4.626900
2025-08-20,4.620500
2025-08-21,4.617700
2025-08-22,4.621800
2025-08-25,4.615700
2025-08-26,4.625600
2025-08-27,4.649200
2025-08-28,4.647500
2025-08-29,4.656100
2025-09-01,4.634500
2025-09-02,4.648200
2025-09-03,4.641600
2025-09-04,4.638000
2025-09-05,4.625600
2025-09-08,4.611500
2025-09-09,4.603100
2025-09-10,4.601300
2025-09-11,4.601200
2025-09-12,4.600000
2025-09-15,4.590200
2025-09-16,4.598700
2025-09-17,4.584700
2025-09-18,4.582900
2025-09-19,4.603100
2025-09-22,4.586700
2025-09-23,4.577400
2025-09-24,4.578500
2025-09-25,4.576300
2025-09-26,4.584600
2025-09-29,4.570300
2025-09-30,4.566800
2025-10-01,4.569900
2025-10-02,4.556500
2025-10-03,4.556500
2025-10-06,4.579700
2025-10-07,4.586100
2025-10-08,4.606200
2025-10-09,4.609700
2025-10-10,4.604300
2025-10-13,4.607900
2025-10-14,4.596200
2025-10-15,4.575600
2025-10-16,4.562600
2025-10-17,4.556200
2025-10-20,4.562800
2025-10-21,4.582000
2025-10-22,4.595400
2025-10-23,4.604800
2025-10-24,4.586600
2025-10-27,4.589200
2025-10-28,4.586900
2025-10-29,4.608100
2025-10-30,4.615800
2025-10-31,4.607700
2025-11-03,4.618200
2025-11-04,4.614800
2025-11-05,4.597600
2025-11-06,4.594700
2025-11-07,4.577700
2025-11-10,4.605700
2025-11-11,4.600200
2025-11-12,4.604800
2025-11-13,4.589300
2025-11-14,4.572800
2025-11-17,4.590200
2025-11-18,4.594000
2025-11-19,4.602000
2025-11-20,4.612300
2025-11-21,4.602900
2025-11-24,4.588200
2025-11-25,4.582000
2025-11-26,4.579500
2025-11-27,4.589700
2025-11-28,4.607500
2025-12-01,4.593600
2025-12-02,4.592100
2025-12-03,4.590600
2025-12-04,4.582200
2025-12-05,4.601900
2025-12-08,4.641900
2025-12-09,4.635000
2025-12-10,4.636900
2025-12-11,4.620800
2025-12-12,4.628400
2025-12-15,4.620200
2025-12-16,4.610000
2025-12-17,4.622200
2025-12-18,4.623000
2025-12-19,4.624700
2025-12-22,4.620600
2025-12-23,4.626100
2025-12-29,4.637500
2025-12-30,4.637900
