Date,Rate
2025-01-02,7.958900
2025-01-03,7.968300
2025-01-06,7.938600
2025-01-07,7.913400
2025-01-08,7.954800
2025-01-09,7.939700
2025-01-10,7.923300
2025-01-13,7.982600
2025-01-14,7.941100
2025-01-15,7.942400
2025-01-16,7.957400
2025-01-17,7.942100
2025-01-20,7.912900
2025-01-21,7.914900
2025-01-22,7.896300
2025-01-23,7.901500
2025-01-24,7.859100
2025-01-27,7.894300
2025-01-28,7.904500
2025-01-29,7.913800
2025-01-30,7.903400
2025-01-31,7.896900
2025-02-03,7.944000
2025-02-04,7.940600
2025-02-05,7.940100
2025-02-06,7.948400
2025-02-07,7.921000
2025-02-10,7.937800
2025-02-11,7.909900
2025-02-12,7.886500
2025-02-13,7.917000
2025-02-14,7.899800
2025-02-17,7.902200
2025-02-18,7.913200
2025-02-19,7.905500
2025-02-20,7.915700
2025-02-21,7.918000
2025-02-24,7.923800
2025-02-25,7.947500
2025-02-26,7.941200
2025-02-27,7.928600
2025-02-28,7.939400
2025-03-03,7.910800
2025-03-04,7.959600
2025-03-05,7.839900
2025-03-06,7.798500
2025-03-07,7.804600
2025-03-10,7.841000
2025-03-11,7.763000
2025-03-12,7.754500
2025-03-13,7.788400
2025-03-14,7.737900
2025-03-17,7.758600
2025-03-18,7.769800
2025-03-19,7.783800
2025-03-20,7.799500
2025-03-21,7.813600
2025-03-24,7.815500
2025-03-25,7.820400
2025-03-26,7.826800
2025-03-27,7.833400
2025-03-28,7.833700
2025-03-31,7.828500
2025-04-01,7.837800
2025-04-02,7.818400
2025-04-03,7.822700
2025-04-04,7.932200
2025-04-07,7.959700
2025-04-08,7.984600
2025-04-09,8.050200
2025-04-10,8.028100
2025-04-11,8.071200
2025-04-14,8.004600
2025-04-15,8.076300
2025-04-16,8.063900
2025-04-22,8.012000
2025-04-23,7.957600
2025-04-24,7.948800
2025-04-25,7.924400
2025-04-28,7.924000
2025-04-29,7.946800
2025-04-30,7.949300
2025-05-02,7.986600
2025-05-05,7.992900
2025-05-06,7.983400
2025-05-07,7.972500
2025-05-08,8.000300
2025-05-09,7.976500
2025-05-12,7.961700
2025-05-13,7.971300
2025-05-14,7.943800
2025-05-15,7.955700
2025-05-16,7.952500
2025-05-19,7.942100
2025-05-20,7.964400
2025-05-21,7.976000
2025-05-22,7.984800
2025-05-23,8.021700
2025-05-26,7.972500
2025-05-27,7.947000
2025-05-28,7.965400
2025-06-02,7.991200
2025-06-03,7.972600
2025-06-04,7.961500
2025-06-06,7.950000
2025-06-10,7.945000
2025-06-11,7.931000
2025-06-12,7.912900
2025-06-13,7.969400
2025-06-16,7.940100
2025-06-17,7.929500
2025-06-18,7.932000
2025-06-19,7.944700
2025-06-20,7.923200
2025-06-23,7.946600
2025-06-24,7.946800
2025-06-25,7.969700
2025-06-26,7.954400
2025-06-27,7.972300
2025-06-30,7.982100
2025-07-01,8.001600
2025-07-02,7.996900
2025-07-03,7.979400
2025-07-04,7.983800
2025-07-07,7.975600
2025-07-08,7.978700
2025-07-09,8.001300
2025-07-10,8.005500
2025-07-11,8.014500
2025-07-14,8.018600
2025-07-15,8.026200
2025-07-16,8.002700
2025-07-17,8.004700
2025-07-18,8.004700
2025-07-21,8.005000
2025-07-22,8.004500
2025-07-23,8.021000
2025-07-24,7.990900
2025-07-25,7.989300
2025-07-28,7.995600
2025-07-29,8.018700
2025-07-30,8.022600
2025-07-31,8.026900
2025-08-01,8.014300
2025-08-04,7.986700
2025-08-05,7.984600
2025-08-06,7.964900
2025-08-07,7.929800
2025-08-08,7.931200
2025-08-11,7.914200
2025-08-12,7.924500
2025-08-13,7.931300
2025-08-14,7.927000
2025-08-15,7.924800
2025-08-18,7.920900
2025-08-19,7.933500
2025-08-20,7.938800
2025-08-21,7.949800
2025-08-22,7.955500
2025-08-25,7.953100
2025-08-26,7.961100
2025-08-27,7.983600
2025-08-28,7.981200
2025-08-29,7.971200
2025-09-01,7.954700
2025-09-02,7.968400
2025-09-03,7.961700
2025-09-04,7.955200
2025-09-05,7.949700
2025-09-08,8.003900
2025-09-09,8.001600
2025-09-10,7.994300
2025-09-11,7.986300
2025-09-12,7.985900
2025-09-15,7.981000
2025-09-16,7.995900
2025-09-17,8.011500
2025-09-18,7.999900
2025-09-19,7.987500
2025-09-22,7.984100
2025-09-23,7.988300
2025-09-24,7.995600
2025-09-25,7.988000
2025-09-26,7.998100
2025-09-29,7.977600
2025-09-30,7.971900
2025-10-01,7.972100
2025-10-02,7.985900
2025-10-03,7.991800
2025-10-06,8.016600
2025-10-07,8.016100
2025-10-08,8.024400
2025-10-09,8.021100
2025-10-10,8.008600
2025-10-13,8.026800
2025-10-14,8.034000
2025-10-15,8.026500
2025-10-16,8.029300
2025-10-17,8.068500
2025-10-20,8.083600
2025-10-21,8.092200
2025-10-22,8.094300
2025-10-23,8.075900
2025-10-24,8.077200
2025-10-27,8.062800
2025-10-28,8.064500
2025-10-29,8.049600
2025-10-30,8.046400
2025-10-31,8.041000
2025-11-03,8.031400
2025-11-04,8.032100
2025-11-05,8.021500
2025-11-06,8.015600
2025-11-07,8.018400
2025-11-10,8.013700
2025-11-11,8.049000
2025-11-12,8.072500
2025-11-13,8.078400
2025-11-14,8.130500
2025-11-17,8.095700
2025-11-18,8.088800
2025-11-19,8.045100
2025-11-20,8.036500
2025-11-21,8.040400
2025-11-24,8.010600
2025-11-25,7.992600
2025-11-26,7.995600
2025-11-27,7.999100
2025-11-28,8.015500
2025-12-01,8.011000
2025-12-02,7.991200
2025-12-03,8.000100
2025-12-04,7.996400
2025-12-05,7.975300
2025-12-08,7.955700
2025-12-09,7.958300
2025-12-10,7.983200
2025-12-11,8.002900
2025-12-12,8.003600
2025-12-15,7.985500
2025-12-16,7.989500
2025-12-17,8.006600
2025-12-18,8.019900
2025-12-19,8.018000
2025-12-22,8.019100
