Date,Rate
2025-01-02,7.458300
2025-01-03,7.459900
2025-01-06,7.459100
2025-01-07,7.459200
2025-01-08,7.460800
2025-01-09,7.460900
2025-01-10,7.460600
2025-01-13,7.460500
2025-01-14,7.460700
2025-01-15,7.461100
2025-01-16,7.460900
2025-01-17,7.460800
2025-01-20,7.461100
2025-01-21,7.461400
2025-01-22,7.461200
2025-01-23,7.460600
2025-01-24,7.461400
2025-01-27,7.462500
2025-01-28,7.462600
2025-01-29,7.462700
2025-01-30,7.461600
2025-01-31,7.461800
2025-02-03,7.461800
2025-02-04,7.461000
2025-02-05,7.459700
2025-02-06,7.459600
2025-02-07,7.460000
2025-02-10,7.458400
2025-02-11,7.458200
2025-02-12,7.458300
2025-02-13,7.458600
2025-02-14,7.459000
2025-02-17,7.459700
2025-02-18,7.458200
2025-02-19,7.458800
2025-02-20,7.459000
2025-02-21,7.458800
2025-02-24,7.460300
2025-02-25,7.459500
2025-02-26,7.458400
2025-02-27,7.458400
2025-02-28,7.458300
2025-03-03,7.458300
2025-03-04,7.458900
2025-03-05,7.458900
2025-03-06,7.459300
2025-03-07,7.458900
2025-03-10,7.458400
2025-03-11,7.458700
2025-03-12,7.459100
2025-03-13,7.460500
2025-03-14,7.460100
2025-03-17,7.460700
2025-03-18,7.459800
2025-03-19,7.459200
2025-03-20,7.459400
2025-03-21,7.459600
2025-03-24,7.459100
2025-03-25,7.459900
2025-03-26,7.460500
2025-03-27,7.460500
2025-03-28,7.461600
2025-03-31,7.461300
2025-04-01,7.461600
2025-04-02,7.461100
2025-04-03,7.461300
2025-04-04,7.461800
2025-04-07,7.463800
2025-04-08,7.464800
2025-04-09,7.469000
2025-04-10,7.465300
2025-04-11,7.467500
2025-04-14,7.467500
2025-04-15,7.464100
2025-04-16,7.467200
2025-04-22,7.465600
2025-04-23,7.465800
2025-04-24,7.465500
2025-04-25,7.465600
2025-04-28,7.464400
2025-04-29,7.463600
2025-04-30,7.463600
2025-05-02,7.461900
2025-05-05,7.462200
2025-05-06,7.461300
2025-05-07,7.461500
2025-05-08,7.460300
2025-05-09,7.460400
2025-05-12,7.459300
2025-05-13,7.459500
2025-05-14,7.459200
2025-05-15,7.460100
2025-05-16,7.460200
2025-05-19,7.460800
2025-05-20,7.459500
2025-05-21,7.459200
2025-05-22,7.460200
2025-05-23,7.459400
2025-05-26,7.459100
2025-05-27,7.459100
2025-05-28,7.458800
2025-06-02,7.460600
2025-06-03,7.460800
2025-06-04,7.459900
2025-06-06,7.459500
2025-06-10,7.459600
2025-06-11,7.459100
2025-06-12,7.459500
2025-06-13,7.458600
2025-06-16,7.458100
2025-06-17,7.458500
2025-06-18,7.458500
2025-06-19,7.459300
2025-06-20,7.459700
2025-06-23,7.459500
2025-06-24,7.459700
2025-06-25,7.460400
2025-06-26,7.460400
2025-06-27,7.461300
2025-06-30,7.460900
2025-07-01,7.460700
2025-07-02,7.461100
2025-07-03,7.461500
2025-07-04,7.461700
2025-07-07,7.460400
2025-07-08,7.460900
2025-07-09,7.461200
2025-07-10,7.461100
2025-07-11,7.461500
2025-07-14,7.462900
2025-07-15,7.463600
2025-07-16,7.463300
2025-07-17,7.462800
2025-07-18,7.463600
2025-07-21,7.464700
2025-07-22,7.465000
2025-07-23,7.464300
2025-07-24,7.464300
2025-07-25,7.464400
2025-07-28,7.463100
2025-07-29,7.461400
2025-07-30,7.461800
2025-07-31,7.462600
2025-08-01,7.462900
2025-08-04,7.462800
2025-08-05,7.463200
2025-08-06,7.462300
2025-08-07,7.464300
2025-08-08,7.463300
2025-08-11,7.463100
2025-08-12,7.463300
2025-08-13,7.462600
2025-08-14,7.463300
2025-08-15,7.463600
2025-08-18,7.463900
2025-08-19,7.464600
2025-08-20,7.464900
2025-08-21,7.464100
2025-08-22,7.464600
2025-08-25,7.464000
2025-08-26,7.464300
2025-08-27,7.464700
2025-08-28,7.464800
2025-08-29,7.464200
2025-09-01,7.463900
2025-09-02,7.463200
2025-09-03,7.463300
2025-09-04,7.464400
2025-09-05,7.464800
2025-09-08,7.466000
2025-09-09,7.466300
2025-09-10,7.465100
2025-09-11,7.464000
2025-09-12,7.464400
2025-09-15,7.464600
2025-09-16,7.465000
2025-09-17,7.464300
2025-09-18,7.464700
2025-09-19,7.463500
2025-09-22,7.463500
2025-09-23,7.464300
2025-09-24,7.463900
2025-09-25,7.464000
2025-09-26,7.463800
2025-09-29,7.464600
2025-09-30,7.464900
2025-10-01,7.465900
2025-10-02,7.466800
2025-10-03,7.466700
2025-10-06,7.466700
2025-10-07,7.466200
2025-10-08,7.466700
2025-10-09,7.466800
2025-10-10,7.467200
2025-10-13,7.468100
2025-10-14,7.468400
2025-10-15,7.468700
2025-10-16,7.468900
2025-10-17,7.469000
2025-10-20,7.468400
2025-10-21,7.469100
2025-10-22,7.469400
2025-10-23,7.469400
2025-10-24,7.469800
2025-10-27,7.469400
2025-10-28,7.469300
2025-10-29,7.468400
2025-10-30,7.467900
2025-10-31,7.467700
2025-11-03,7.467600
2025-11-04,7.465800
2025-11-05,7.465600
2025-11-06,7.467300
2025-11-07,7.466700
2025-11-10,7.467200
2025-11-11,7.467900
2025-11-12,7.467100
2025-11-13,7.467700
2025-11-14,7.467900
2025-11-17,7.468300
2025-11-18,7.468400
2025-11-19,7.469100
2025-11-20,7.469100
2025-11-21,7.468700
2025-11-24,7.469100
2025-11-25,7.469100
2025-11-26,7.468700
2025-11-27,7.468800
2025-11-28,7.468800
2025-12-01,7.468700
2025-12-02,7.468600
2025-12-03,7.468900
2025-12-04,7.468600
2025-12-05,7.468900
2025-12-08,7.468800
2025-12-09,7.468900
2025-12-10,7.469100
2025-12-11,7.469100
2025-12-12,7.469800
2025-12-15,7.470400
2025-12-16,7.471000
2025-12-17,7.471800
2025-12-18,7.471300
2025-12-19,7.471200
2025-12-22,7.470600
2025-12-23,7.470200
2025-12-29,7.469200
2025-12-30,7.468900
