Date,Rate
2025-01-02,8.973100
2025-01-03,8.988600
2025-01-06,8.976300
2025-01-07,8.996200
2025-01-08,8.945500
2025-01-09,8.902400
2025-01-10,8.914200
2025-01-13,8.864700
2025-01-14,8.851400
2025-01-15,8.849300
2025-01-16,8.854800
2025-01-17,8.834300
2025-01-20,8.820500
2025-01-21,8.824500
2025-01-22,8.833400
2025-01-23,8.832500
2025-01-24,8.839200
2025-01-27,8.872700
2025-01-28,8.898000
2025-01-29,8.913600
2025-01-30,8.916300
2025-01-31,8.924700
2025-02-03,8.975400
2025-02-04,8.968800
2025-02-05,8.978400
2025-02-06,8.913600
2025-02-07,8.949900
2025-02-10,8.955500
2025-02-11,8.947500
2025-02-12,8.949500
2025-02-13,8.952500
2025-02-14,8.963500
2025-02-17,8.973200
2025-02-18,8.983100
2025-02-19,9.004100
2025-02-20,9.006000
2025-02-21,9.012600
2025-02-24,9.006800
2025-02-25,8.997300
2025-02-26,9.000300
2025-02-27,9.021600
2025-02-28,9.028500
2025-03-03,9.037100
2025-03-04,9.009600
2025-03-05,8.932800
2025-03-06,8.902400
2025-03-07,8.870400
2025-03-10,8.895000
2025-03-11,8.840000
2025-03-12,8.871600
2025-03-13,8.905100
2025-03-14,8.861800
2025-03-17,8.879000
2025-03-18,8.862500
2025-03-19,8.871800
2025-03-20,8.913100
2025-03-21,8.905400
2025-03-24,8.915600
2025-03-25,8.927100
2025-03-26,8.921600
2025-03-27,8.954200
2025-03-28,8.951300
2025-03-31,8.931800
2025-04-01,8.918400
2025-04-02,8.940300
2025-04-03,8.865300
2025-04-04,8.780100
2025-04-07,8.720600
2025-04-08,8.716100
2025-04-09,8.641200
2025-04-10,8.705400
2025-04-11,8.615200
2025-04-14,8.644600
2025-04-15,8.722800
2025-04-16,8.721500
2025-04-22,8.695300
2025-04-23,8.702100
2025-04-24,8.731600
2025-04-25,8.751100
2025-04-28,8.767200
2025-04-29,8.782800
2025-04-30,8.762200
2025-05-02,8.744800
2025-05-05,8.763600
2025-05-06,8.810100
2025-05-07,8.766900
2025-05-08,8.801700
2025-05-09,8.800800
2025-05-12,8.849600
2025-05-13,8.874000
2025-05-14,8.864200
2025-05-15,8.855800
2025-05-16,8.852700
2025-05-19,8.861900
2025-05-20,8.861400
2025-05-21,8.831600
2025-05-22,8.852700
2025-05-23,8.899300
2025-05-26,8.888300
2025-05-27,8.900000
2025-05-28,8.881600
2025-06-02,8.845900
2025-06-03,8.844000
2025-06-04,8.858700
2025-06-06,8.853000
2025-06-10,8.813300
2025-06-11,8.800300
2025-06-12,8.736800
2025-06-13,8.769700
2025-06-16,8.750600
2025-06-17,8.749000
2025-06-18,8.721400
2025-06-19,8.733500
2025-06-20,8.738100
2025-06-23,8.707200
2025-06-24,8.748300
2025-06-25,8.750200
2025-06-26,8.740900
2025-06-27,8.748200
2025-06-30,8.721100
2025-07-01,8.687400
2025-07-02,8.670700
2025-07-03,8.647000
2025-07-04,8.651200
2025-07-07,8.663800
2025-07-08,8.643300
2025-07-09,8.662700
2025-07-10,8.648500
2025-07-11,8.619000
2025-07-14,8.610700
2025-07-15,8.599600
2025-07-16,8.619100
2025-07-17,8.633500
2025-07-18,8.622500
2025-07-21,8.623700
2025-07-22,8.605200
2025-07-23,8.614300
2025-07-24,8.604400
2025-07-25,8.565000
2025-07-28,8.599000
2025-07-29,8.625900
2025-07-30,8.654400
2025-07-31,8.628300
2025-08-01,8.612700
2025-08-04,8.574000
2025-08-05,8.585300
2025-08-06,8.560600
2025-08-07,8.606400
2025-08-08,8.607200
2025-08-11,8.621900
2025-08-12,8.657100
2025-08-13,8.646300
2025-08-14,8.668200
2025-08-15,8.656500
2025-08-18,8.657800
2025-08-19,8.639600
2025-08-20,8.634900
2025-08-21,8.625000
2025-08-22,8.626600
2025-08-25,8.619900
2025-08-26,8.637200
2025-08-27,8.653700
2025-08-28,8.642800
2025-08-29,8.611200
2025-09-01,8.616800
2025-09-02,8.576400
2025-09-03,8.591300
2025-09-04,8.616400
2025-09-05,8.602000
2025-09-08,8.612300
2025-09-09,8.618600
2025-09-10,8.630200
2025-09-11,8.631900
2025-09-12,8.626400
2025-09-15,8.638600
2025-09-16,8.624100
2025-09-17,8.604400
2025-09-18,8.599900
2025-09-19,8.570900
2025-09-22,8.550200
2025-09-23,8.551200
2025-09-24,8.548700
2025-09-25,8.532200
2025-09-26,8.539800
2025-09-29,8.557400
2025-09-30,8.546900
2025-10-01,8.577600
2025-10-02,8.561900
2025-10-03,8.556800
2025-10-06,8.587300
2025-10-07,8.578900
2025-10-08,8.611100
2025-10-09,8.599300
2025-10-10,8.574100
2025-10-13,8.606800
2025-10-14,8.572500
2025-10-15,8.579800
2025-10-16,8.608700
2025-10-17,8.590000
2025-10-20,8.593300
2025-10-21,8.606900
2025-10-22,8.596400
2025-10-23,8.594400
2025-10-24,8.560400
2025-10-27,8.564800
2025-10-28,8.526600
2025-10-29,8.480100
2025-10-30,8.485300
2025-10-31,8.470600
2025-11-03,8.519800
2025-11-04,8.488700
2025-11-05,8.474000
2025-11-06,8.478800
2025-11-07,8.474300
2025-11-10,8.506700
2025-11-11,8.482400
2025-11-12,8.463200
2025-11-13,8.467700
2025-11-14,8.442100
2025-11-17,8.491500
2025-11-18,8.466600
2025-11-19,8.461700
2025-11-20,8.473200
2025-11-21,8.484300
2025-11-24,8.483800
2025-11-25,8.499200
2025-11-26,8.510400
2025-11-27,8.531900
2025-11-28,8.533800
2025-12-01,8.508400
