Date,Rate
2025-01-02,7.226300
2025-01-03,7.243300
2025-01-06,7.154300
2025-01-07,7.177100
2025-01-08,7.253400
2025-01-09,7.240100
2025-01-10,7.240500
2025-01-13,7.315700
2025-01-14,7.282300
2025-01-15,7.243800
2025-01-16,7.263300
2025-01-17,7.244900
2025-01-20,7.232600
2025-01-21,7.204200
2025-01-22,7.144700
2025-01-23,7.170900
2025-01-24,7.125100
2025-01-27,7.086900
2025-01-28,7.161100
2025-01-29,7.178400
2025-01-30,7.172500
2025-01-31,7.179600
2025-02-03,7.262800
2025-02-04,7.219200
2025-02-05,7.157600
2025-02-06,7.200400
2025-02-07,7.189000
2025-02-10,7.227100
2025-02-11,7.224100
2025-02-12,7.192200
2025-02-13,7.178600
2025-02-14,7.118700
2025-02-17,7.122800
2025-02-18,7.139100
2025-02-19,7.148600
2025-02-20,7.142600
2025-02-21,7.127400
2025-02-24,7.128100
2025-02-25,7.106300
2025-02-26,7.112000
2025-02-27,7.118800
2025-02-28,7.163900
2025-03-03,7.126900
2025-03-04,7.065400
2025-03-05,6.974800
2025-03-06,6.909300
2025-03-07,6.870100
2025-03-10,6.877300
2025-03-11,6.835300
2025-03-12,6.852000
2025-03-13,6.888700
2025-03-14,6.851000
2025-03-17,6.842800
2025-03-18,6.832600
2025-03-19,6.845200
2025-03-20,6.885800
2025-03-21,6.889800
2025-03-24,6.891300
2025-03-25,6.891400
2025-03-26,6.915600
2025-03-27,6.917500
2025-03-28,6.910800
2025-03-31,6.899000
2025-04-01,6.916600
2025-04-02,6.906500
2025-04-03,6.723700
2025-04-04,6.748500
2025-04-07,6.805700
2025-04-08,6.817200
2025-04-09,6.762300
2025-04-10,6.736400
2025-04-11,6.581600
2025-04-14,6.563700
2025-04-15,6.591400
2025-04-16,6.576100
2025-04-22,6.505400
2025-04-23,6.540300
2025-04-24,6.562500
2025-04-25,6.573600
2025-04-28,6.571900
2025-04-29,6.562600
2025-04-30,6.562600
2025-05-02,6.578400
2025-05-05,6.578700
2025-05-06,6.588300
2025-05-07,6.568200
2025-05-08,6.603800
2025-05-09,6.630300
2025-05-12,6.716500
2025-05-13,6.713000
2025-05-14,6.651700
2025-05-15,6.669700
2025-05-16,6.664500
2025-05-19,6.624800
2025-05-20,6.636000
2025-05-21,6.588800
2025-05-22,6.596700
2025-05-23,6.600700
2025-05-26,6.554000
2025-05-27,6.568400
2025-05-28,6.590800
2025-06-02,6.533500
2025-06-03,6.552600
2025-06-04,6.553000
2025-06-06,6.537100
2025-06-10,6.526900
2025-06-11,6.524200
2025-06-12,6.433900
2025-06-13,6.479000
2025-06-16,6.443800
2025-06-17,6.447500
2025-06-18,6.481100
2025-06-19,6.498800
2025-06-20,6.478200
2025-06-23,6.502400
2025-06-24,6.426900
2025-06-25,6.432500
2025-06-26,6.379100
2025-06-27,6.375000
2025-06-30,6.366000
2025-07-01,6.317300
2025-07-02,6.347200
2025-07-03,6.333000
2025-07-04,6.341200
2025-07-07,6.361200
2025-07-08,6.367000
2025-07-09,6.378200
2025-07-10,6.372100
2025-07-11,6.386600
2025-07-14,6.384000
2025-07-15,6.398300
2025-07-16,6.432800
2025-07-17,6.445100
2025-07-18,6.406500
2025-07-21,6.398100
2025-07-22,6.380900
2025-07-23,6.365600
2025-07-24,6.349400
2025-07-25,6.366800
2025-07-28,6.403900
2025-07-29,6.469600
2025-07-30,6.473300
2025-07-31,6.519800
2025-08-01,6.544100
2025-08-04,6.452900
2025-08-05,6.463900
2025-08-06,6.430800
2025-08-07,6.411000
2025-08-08,6.407400
2025-08-11,6.421500
