Date,Ticker,Name,ISIN,Shares,Proceeds (DKK),Cost Basis (DKK),Gain/Loss (DKK),Danish/Foreign
2025-04-11,AMZN,Amazon,US0231351067,3.0305,3575.39,3820.42,-245.03,Foreign
2025-04-11,GOOGL,Alphabet (Class A),US02079K3059,4.8608,4959.51,5096.02,-136.51,Foreign
2025-04-11,BAB,Babcock International,GB0009697037,33.4634,1982.01,2132.82,-150.81,Foreign
2025-04-11,MSFT,Microsoft,US5949181045,1.1421,2868.78,2967.04,-98.26,Foreign
2025-04-11,ASML,ASML,NL0010273215,0.8279,3575.22,3839.08,-263.86,Foreign
2025-04-11,ABBN,ABB,CH0012221716,3.6758,1191.22,1279.15,-87.92,Foreign
2025-04-11,SMCI,Super Micro Computer,US86800U3023,3.5252,763.57,856.24,-92.67,Foreign
2025-04-11,NVDA,Nvidia,US67066G1040,3.9475,2811.14,2971.77,-160.63,Foreign
2025-04-11,UBER,Uber Technologies,US90353T1007,6.0947,2802.44,2970.46,-168.02,Foreign
2025-04-11,BN,Brookfield,CA11271J1075,2.2410,702.14,755.48,-53.34,Foreign
2025-04-11,BN,Brookfield,CA11271J1075,4.4030,1379.72,1484.32,-104.60,Foreign
2025-04-11,ADBE,Adobe,US00724F1012,0.5236,1187.35,1274.29,-86.95,Foreign
2025-04-11,V,Visa,US92826C8394,1.5222,3273.09,3388.18,-115.09,Foreign
2025-04-11,BRK.B,Berkshire Hathaway (Class B),US0846707026,0.2430,823.53,847.66,-24.14,Foreign
2025-04-11,NVO,Novo Nordisk,US6701002056,13.7530,5761.59,5942.65,-181.06,Foreign
2025-04-11,BKNG,Booking,US09857L1089,0.0688,2015.27,2124.01,-108.75,Foreign
2025-04-11,BN,Brookfield,CA11271J1075,0.9613,301.02,324.07,-23.06,Foreign
2025-04-11,DELL,Dell Technologies,US24703L2025,0.7544,393.28,426.82,-33.53,Foreign
2025-04-11,NVDA,Nvidia,US67066G1040,1.0227,728.42,769.87,-41.45,Foreign
2025-04-11,DELL,Dell Technologies,US24703L2025,0.4522,235.19,255.84,-20.64,Foreign
2025-04-11,SU,Schneider Electric,FR0000121972,0.2498,365.80,391.74,-25.94,Foreign
2025-04-11,ASML,ASML,NL0010273215,0.1408,607.72,652.90,-45.19,Foreign
2025-04-11,ADBE,Adobe,US00724F1012,0.1581,358.05,384.82,-26.77,Foreign
2025-04-11,GOOGL,Alphabet (Class A),US02079K3059,1.3457,1372.49,1410.81,-38.32,Foreign
2025-04-11,AMZN,Amazon,US0231351067,0.6093,717.99,768.05,-50.06,Foreign
2025-04-11,ABBN,ABB,CH0012221716,1.1273,365.28,392.29,-27.00,Foreign
2025-04-11,RWE,RWE,DE0007037129,0.5435,132.24,130.58,1.66,Foreign
2025-04-11,SMCI,Super Micro Computer,US86800U3023,1.0286,222.36,249.84,-27.48,Foreign
2025-04-11,SIE,Siemens,DE0007236101,0.3536,474.27,522.32,-48.06,Foreign
2025-04-11,IBE,Iberdrola,ES0144580Y14,4.9401,545.08,522.32,22.76,Foreign
2025-04-11,UBER,Uber Technologies,US90353T1007,1.0504,482.71,511.94,-29.23,Foreign
2025-04-11,BN,Brookfield,CA11271J1075,3.3911,1061.13,1143.20,-82.06,Foreign
2025-04-11,BRK.B,Berkshire Hathaway (Class B),US0846707026,0.1484,502.78,517.65,-14.86,Foreign
2025-04-11,MSFT,Microsoft,US5949181045,0.3481,873.75,904.22,-30.47,Foreign
2025-04-11,ADM,Archer-Daniels-Midland,US0394831020,0.4312,126.90,129.62,-2.72,Foreign
2025-04-11,CARR,Carrier Global,US14448C1045,0.6245,238.55,259.24,-20.68,Foreign
2025-04-11,BAB,Babcock International,GB0009697037,8.1951,485.04,522.32,-37.29,Foreign
2025-04-11,NVO,Novo Nordisk,US6701002056,1.7656,739.10,762.93,-23.83,Foreign
2025-04-11,V,Visa,US92826C8394,0.2908,625.03,647.26,-22.23,Foreign
2025-04-11,ANET,Arista Networks,US0404132054,0.9887,467.72,518.47,-50.75,Foreign
2025-04-11,BKNG,Booking,US09857L1089,0.0166,485.29,511.55,-26.26,Foreign
2025-09-22,LII,Lennox International,US5261071071,1.0000,3358.52,3564.14,-205.62,Foreign
2025-09-30,CRM,Salesforce,US79466L3024,3.0000,4605.92,4700.15,-94.23,Foreign
2025-11-04,HBM,Hudbay Minerals,CA4436281022,23.4130,2291.27,2158.03,133.24,Foreign
2025-11-04,HBM,Hudbay Minerals,CA4436281022,16.5870,1622.19,1528.86,93.33,Foreign
2025-11-06,UNH,UnitedHealth,US91324P1021,10.0000,21186.91,19463.15,1723.76,Foreign
2025-11-10,JD,JD.com,US47215P1066,40.0000,8096.85,8860.71,-763.86,Foreign
2025-11-18,LULU,Lululemon Athletica,US5500211090,5.0000,5285.95,5090.35,195.60,Foreign
2025-11-18,FCX,Freeport-McMoRan,US35671D8570,15.0000,3899.12,3678.23,220.89,Foreign
2025-11-18,FISV,Fiserv,US3377381088,20.0000,7899.25,14231.85,-6332.60,Foreign
2025-11-20,POWL,Powell Industries,US7391281067,6.0000,11781.56,12431.12,-649.56,Foreign
2025-11-20,POWL,Powell Industries,US7391281067,4.0000,7761.62,8287.42,-525.79,Foreign
2025-11-20,GOOG,Alphabet (Class C),US02079K1079,3.0000,5825.58,4833.25,992.33,Foreign
2025-11-20,HY9H,SK hynix,US78392B1070,2.0000,4888.78,4385.16,503.62,Foreign
2025-11-20,LULU,Lululemon Athletica,US5500211090,10.0000,10811.55,10180.70,630.84,Foreign
2025-11-25,HY9H,SK hynix,US78392B1070,1.0000,2248.97,2192.58,56.39,Foreign
2025-11-25,KSPI,Kaspi.KZ,US48581R2058,3.8760,1816.36,1884.38,-68.01,Foreign
2025-11-25,KSPI,Kaspi.KZ,US48581R2058,7.7380,3625.93,3761.95,-136.02,Foreign
2025-11-25,KSPI,Kaspi.KZ,US48581R2058,9.0080,4220.79,4379.38,-158.59,Foreign
2025-11-25,KSPI,Kaspi.KZ,US48581R2058,0.4784,224.21,232.60,-8.39,Foreign
2025-11-25,POWL,Powell Industries,US7391281067,1.0000,1939.26,2071.85,-132.59,Foreign
2025-11-25,GOOG,Alphabet (Class C),US02079K1079,2.0000,4208.63,3222.17,986.47,Foreign
2025-11-25,FCX,Freeport-McMoRan,US35671D8570,7.1410,1887.50,1751.08,136.42,Foreign
2025-11-25,FCX,Freeport-McMoRan,US35671D8570,12.8590,3399.00,3153.22,245.78,Foreign
2025-12-02,GOOG,Alphabet (Class C),US02079K1079,3.0000,6092.90,4833.25,1259.65,Foreign
