Action,Time,ISIN,Ticker,Name,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Currency conversion fee,Currency (Currency conversion fee),French transaction tax,Currency (French transaction tax)
Market buy,2025-04-09 18:30:23,US5949181045,MSFT,"Microsoft",EOF30858697592,0.3480534000,385.8100000000,USD,1.28083252,,,105.00,"GBP",,,,,0.16,"GBP",,
Market buy,2025-04-09 18:30:23,US0231351067,AMZN,"Amazon",EOF30858697600,0.6092536000,188.9200000000,USD,1.28074096,,,90.00,"GBP",,,,,0.13,"GBP",,
Market buy,2025-04-09 18:30:23,US67066G1040,NVDA,"Nvidia",EOF30858697596,1.0226503000,112.5500000000,USD,1.28073095,,,90.00,"GBP",,,,,0.13,"GBP",,
Market buy,2025-04-09 18:30:23,US02079K3059,GOOGL,"Alphabet (Class A)",EOF30858697604,1.3456864000,156.8100000000,USD,1.28083207,,,165.00,"GBP",,,,,0.25,"GBP",,
Market buy,2025-04-09 18:30:23,US86800U3023,SMCI,"Super Micro Computer",EOF30858697608,1.0285970000,37.3000000000,USD,1.28059639,,,30.00,"GBP",,,,,0.04,"GBP",,
Market buy,2025-04-09 18:30:23,US0404132054,ANET,"Arista Networks",EOF30858697616,0.9887050000,77.6100000000,USD,1.28081113,,,60.00,"GBP",,,,,0.09,"GBP",,
Market buy,2025-04-09 18:30:23,CA11271J1075,BN,"Brookfield",EOF30858697612,3.0000000000,71.8100000000,CAD,1.80654088,,,119.43,"GBP",,,,,0.18,"GBP",,
Market buy,2025-04-09 18:30:24,CA11271J1075,BN,"Brookfield",EOF30858697620,0.2042420000,71.8100000000,CAD,1.80623374,,,8.13,"GBP",,,,,0.01,"GBP",,
Market buy,2025-04-09 18:30:24,US24703L2025,DELL,"Dell Technologies",EOF30858697623,0.4521740000,84.8500000000,USD,1.28060627,,,30.00,"GBP",,,,,0.04,"GBP",,
Market buy,2025-04-09 18:30:24,US6701002056,NVO,"Novo Nordisk",EOF30858697627,1.7656250000,65.1900000000,USD,1.28075101,,,90.00,"GBP",,,,,0.13,"GBP",,
Market buy,2025-04-09 18:30:25,CA11271J1075,BN,"Brookfield",EOF30858697638,0.1868670000,71.8100000000,CAD,1.80604566,,,7.44,"GBP",,,,,0.01,"GBP",,
Market buy,2025-04-09 18:30:25,US92826C8394,V,"Visa",EOF30858697641,0.2907845000,329.8500000000,USD,1.28074866,,,75.00,"GBP",,,,,0.11,"GBP",,
Market buy,2025-04-09 18:30:26,US90353T1007,UBER,"Uber Technologies",EOF30858697649,1.0503830000,73.0500000000,USD,1.28076244,,,60.00,"GBP",,,,,0.09,"GBP",,
Market buy,2025-04-09 18:30:26,US0846707026,BRK.B,"Berkshire Hathaway (Class B)",EOF30858697653,0.1484148000,517.0000000000,USD,1.28076200,,,60.00,"GBP",,,,,0.09,"GBP",,
Market buy,2025-04-09 18:30:27,US0394831020,ADM,"Archer-Daniels-Midland",EOF30858697664,0.4312290000,44.4800000000,USD,1.28044498,,,15.00,"GBP",,,,,0.02,"GBP",,
Market buy,2025-04-09 18:30:27,US14448C1045,CARR,"Carrier Global",EOF30858697672,0.6245010000,61.4300000000,USD,1.28047718,,,30.00,"GBP",,,,,0.04,"GBP",,
Market buy,2025-04-09 18:30:27,US09857L1089,BKNG,"Booking",EOF30858697682,0.0165807500,4627.4300000000,USD,1.28069203,,,60.00,"GBP",,,,,0.09,"GBP",,
Market buy,2025-04-09 18:30:31,US00724F1012,ADBE,"Adobe",EOF30858697738,0.1581163000,363.9700000000,USD,1.28087223,,,45.00,"GBP",,,,,0.07,"GBP",,
Market buy,2025-04-09 19:09:42,US67066G1040,NVDA,"Nvidia",EOF30860371962,3.9475330000,111.2700000000,USD,1.28249583,,,343.00,"GBP",,,,,0.51,"GBP",,
Market buy,2025-04-09 19:09:42,US0231351067,AMZN,"Amazon",EOF30860371965,3.0305323000,186.3500000000,USD,1.28250827,,,441.00,"GBP",,,,,0.66,"GBP",,
Market buy,2025-04-09 19:09:42,US92826C8394,V,"Visa",EOF30860371974,1.5221531000,329.7900000000,USD,1.28251927,,,392.00,"GBP",,,,,0.59,"GBP",,
Market buy,2025-04-09 19:09:42,US86800U3023,SMCI,"Super Micro Computer",EOF30860371971,3.5252160000,35.6000000000,USD,1.28255175,,,98.00,"GBP",,,,,0.15,"GBP",,
Market buy,2025-04-09 19:09:42,US02079K3059,GOOGL,"Alphabet (Class A)",EOF30860371968,4.8607985000,154.9100000000,USD,1.28250833,,,588.00,"GBP",,,,,0.88,"GBP",,
Market buy,2025-04-09 19:09:42,CA11271J1075,BN,"Brookfield",EOF30860371983,6.0000000000,69.8300000000,CAD,1.80961430,,,231.88,"GBP",,,,,0.35,"GBP",,
Market buy,2025-04-09 19:09:42,US24703L2025,DELL,"Dell Technologies",EOF30860371980,0.7543730000,83.1800000000,USD,1.28241868,,,49.00,"GBP",,,,,0.07,"GBP",,
Market buy,2025-04-09 19:09:42,US5949181045,MSFT,"Microsoft",EOF30860371977,1.1420748000,384.6000000000,USD,1.28249574,,,343.00,"GBP",,,,,0.51,"GBP",,
Market buy,2025-04-09 19:09:42,US00724F1012,ADBE,"Adobe",EOF30860371986,0.5235905000,359.5300000000,USD,1.28250778,,,147.00,"GBP",,,,,0.22,"GBP",,
Market buy,2025-04-09 19:09:42,US90353T1007,UBER,"Uber Technologies",EOF30860371989,6.0946570000,72.0700000000,USD,1.28249563,,,343.00,"GBP",,,,,0.51,"GBP",,
Market buy,2025-04-09 19:09:43,US09857L1089,BKNG,"Booking",EOF30860371995,0.0688449900,4557.2200000000,USD,1.28251549,,,245.00,"GBP",,,,,0.37,"GBP",,
Market buy,2025-04-09 19:09:43,CA11271J1075,BN,"Brookfield",EOF30860371992,1.6053100000,69.9200000000,CAD,1.80949984,,,62.12,"GBP",,,,,0.09,"GBP",,
Market buy,2025-04-09 19:09:43,US6701002056,NVO,"Novo Nordisk",EOF30860372003,13.7529570000,63.8800000000,USD,1.28259470,,,686.00,"GBP",,,,,1.03,"GBP",,
