Action,Time,ISIN,Ticker,Name,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Currency conversion fee,Currency (Currency conversion fee)
Limit buy,29/01/2026 14:38:00,US97717P1049,WT,WisdomTree,EOF45807078961,41.447297,17.02,USD,1.38293078,,,510.87,GBP,,,0.77,GBP
Limit buy,29/01/2026 14:38:00,US97717P1049,WT,WisdomTree,EOF45807078998,98,17.02,USD,1.38313169,,,1207.74,GBP,,,1.81,GBP
Limit buy,29/01/2026 14:39:00,US97717P1049,WT,WisdomTree,EOF45807079195,10.552703,17.02,USD,1.38318833,,,130.04,GBP,,,0.19,GBP
Limit buy,02/02/2026 20:04:00,US0231351067,AMZN,Amazon,EOF46022969942,10,243.25,USD,1.3658364,,,1783.63,GBP,,,2.67,GBP
Limit buy,02/02/2026 20:17:00,US48581R2058,KSPI,Kaspi.KZ,EOF46022972320,0.59341263,76.12,USD,1.36549484,,,33.13,GBP,,,0.05,GBP
Limit buy,02/02/2026 20:17:00,US48581R2058,KSPI,Kaspi.KZ,EOF46022972321,12,76.12,USD,1.3656057,,,669.89,GBP,,,1,GBP
Limit buy,02/02/2026 20:17:00,US48581R2058,KSPI,Kaspi.KZ,EOF46022972327,12,76.12,USD,1.36558528,,,669.9,GBP,,,1,GBP
Limit buy,02/02/2026 20:17:00,US48581R2058,KSPI,Kaspi.KZ,EOF46022972330,0.40658737,76.12,USD,1.36581776,,,22.69,GBP,,,0.03,GBP
Limit sell,04/02/2026 16:24:00,US0231351067,AMZN,Amazon,EOF46108638502,10,236.91,USD,1.36478327,-45.08,GBP,1733.28,GBP,,,2.6,GBP
Limit sell,09/02/2026 18:27:00,US97717P1049,WT,WisdomTree,EOF46362878849,50,15.96,USD,1.36739834,-31.7,GBP,582.71,GBP,,,0.88,GBP
Limit sell,10/02/2026 08:01:00,US94106L1098,UWS,Waste Management,EOF46365040970,2.8336,192.02,EUR,1.14829451,15.08,GBP,473.13,GBP,,,0.71,GBP
Limit sell,10/02/2026 08:05:00,US94106L1098,UWS,Waste Management,EOF46365047628,0.1664,191.82,EUR,1.14816,0.86,GBP,27.76,GBP,,,0.04,GBP
Limit buy,13/02/2026 13:54:00,US78392B1070,HY9H,SK hynix,EOF46553310711,2,518,EUR,1.14797331,,,903.81,GBP,,,1.35,GBP
Limit sell,18/02/2026 14:32:00,US97717P1049,WT,WisdomTree,EOF46803630829,100,16.52,USD,1.35425376,-10.73,GBP,1218.03,GBP,,,1.83,GBP
Limit buy,18/02/2026 14:34:00,US5949181045,MSFT,Microsoft,EOF46803632708,20,396.95,USD,1.35393945,,,5872.43,GBP,,,8.8,GBP
Limit sell,18/02/2026 14:36:00,US0367521038,ELV,Elevance Health,EOF46803633981,17,342.95,USD,1.35387155,220.96,GBP,4299.82,GBP,,,6.46,GBP
Limit buy,18/02/2026 14:44:00,CA2960061091,ERO,ERO Copper,EOF46803637097,25,30.37,USD,1.35386947,,,561.64,GBP,,,0.84,GBP
Limit buy,18/02/2026 14:46:00,US0231351067,AMZN,Amazon,EOF46803637662,15,204.85,USD,1.35372977,,,2273.24,GBP,,,3.4,GBP
Limit buy,18/02/2026 14:53:00,US7707001027,HOOD,Robinhood Markets,EOF46803641122,50,75.99,USD,1.35400964,,,2810.32,GBP,,,4.21,GBP
Limit buy,18/02/2026 15:28:00,US5949724083,MSTR,Strategy,EOF46805856599,15,129.54,USD,1.35394456,,,1437.29,GBP,,,2.15,GBP
